rank,subtype,captured_energy,model_name,layer
1,sycophancy_on_nlp_survey,0.00426524615258686,Qwen/Qwen2.5-0.5B-Instruct,3
1,sycophancy_on_philpapers2020,0.09073720027679189,Qwen/Qwen2.5-0.5B-Instruct,3
1,sycophancy_on_political_typology_quiz,0.35119617336505166,Qwen/Qwen2.5-0.5B-Instruct,3
2,sycophancy_on_nlp_survey,0.5499853466292347,Qwen/Qwen2.5-0.5B-Instruct,3
2,sycophancy_on_philpapers2020,0.0935003711250007,Qwen/Qwen2.5-0.5B-Instruct,3
2,sycophancy_on_political_typology_quiz,0.5419596556212276,Qwen/Qwen2.5-0.5B-Instruct,3
3,sycophancy_on_nlp_survey,0.5529574220566946,Qwen/Qwen2.5-0.5B-Instruct,3
3,sycophancy_on_philpapers2020,0.139789365545261,Qwen/Qwen2.5-0.5B-Instruct,3
3,sycophancy_on_political_typology_quiz,0.5421388138440008,Qwen/Qwen2.5-0.5B-Instruct,3
4,sycophancy_on_nlp_survey,0.5583053496247992,Qwen/Qwen2.5-0.5B-Instruct,3
4,sycophancy_on_philpapers2020,0.14122491578371185,Qwen/Qwen2.5-0.5B-Instruct,3
4,sycophancy_on_political_typology_quiz,0.5592463361918625,Qwen/Qwen2.5-0.5B-Instruct,3
5,sycophancy_on_nlp_survey,0.5711626704162096,Qwen/Qwen2.5-0.5B-Instruct,3
5,sycophancy_on_philpapers2020,0.18045520506614066,Qwen/Qwen2.5-0.5B-Instruct,3
5,sycophancy_on_political_typology_quiz,0.5654335253496667,Qwen/Qwen2.5-0.5B-Instruct,3
6,sycophancy_on_nlp_survey,0.5931400177129542,Qwen/Qwen2.5-0.5B-Instruct,3
6,sycophancy_on_philpapers2020,0.18105514156236588,Qwen/Qwen2.5-0.5B-Instruct,3
6,sycophancy_on_political_typology_quiz,0.5656636042087925,Qwen/Qwen2.5-0.5B-Instruct,3
8,sycophancy_on_nlp_survey,0.6153885657865746,Qwen/Qwen2.5-0.5B-Instruct,3
8,sycophancy_on_philpapers2020,0.21509850728924296,Qwen/Qwen2.5-0.5B-Instruct,3
8,sycophancy_on_political_typology_quiz,0.5660611730525572,Qwen/Qwen2.5-0.5B-Instruct,3
