model_name,layer_selection,layers,intervention,setting,top_k_layers,before_behavior_margin,after_behavior_margin,behavior_margin_delta,n_examples,answer_flip_rate,targeted_syc_to_non_syc_flip_rate,before_accuracy,after_accuracy,accuracy_change,ci_low,ci_high
gpt2-small,causal_topk,"[1, 2, 3]",contrastive_patching,contrastive,3,0.24505136860118196,0.2521709878210928,0.007119619219910866,25,0.0,0.0,0.36,0.36,0.0,-0.11147327432445447,0.1341350997850003
gpt2-small,causal_topk,"[1, 2, 3]",probe_steering,alpha=-5,3,-0.16962182839550954,-0.16971920369209265,-9.737529658307765e-05,25,0.0,0.0,0.52,0.52,0.0,-0.0588546253801596,0.04965010021094117
gpt2-small,causal_topk,"[1, 2, 3]",probe_steering,alpha=-3,3,-0.16962182839550954,-0.16804678157202718,0.0015750468234823223,25,0.0,0.0,0.52,0.52,0.0,-0.058927280782930774,0.05585123883028219
gpt2-small,causal_topk,"[1, 2, 3]",probe_steering,alpha=-1,3,-0.16962182839550954,-0.14785265400433784,0.021769174391171733,25,0.0,0.0,0.52,0.52,0.0,-0.022846103897359585,0.0571315546896321
gpt2-small,causal_topk,"[1, 2, 3]",probe_steering,alpha=+1,3,-0.16962182839550954,-0.16088728950320672,0.00873453889230285,25,0.04,0.08333333333333333,0.52,0.56,0.040000000000000036,-0.04201181314208288,0.06729533457334576
gpt2-small,causal_topk,"[1, 2, 3]",probe_steering,alpha=+3,3,-0.16962182839550954,-0.10546510051958488,0.06415672787592468,25,0.0,0.0,0.52,0.52,0.0,-0.04309912095314724,0.16225185485042704
gpt2-small,causal_topk,"[1, 2, 3]",probe_steering,alpha=+5,3,-0.16962182839550954,-0.07619481893661453,0.09342700945889504,25,0.0,0.0,0.52,0.52,0.0,-0.03569483734016073,0.20088012036968148
gpt2-small,causal_topk,"[1, 2, 3]",activation_capping,cap_q=0.75,3,0.24505136860118196,0.24503242099986355,-1.8947601318366482e-05,25,0.0,0.0,0.36,0.36,0.0,-7.801022529604107e-05,4.899783134462485e-05
gpt2-small,causal_topk,"[1, 2, 3]",mean_ablation,mean,3,-0.16962182839550954,-0.17056577059235242,-0.000943942196842813,25,0.0,0.0,0.52,0.52,0.0,-0.10966160690411174,0.12198973326000677
gpt2-small,decodable_topk,"[6, 7, 8]",contrastive_patching,contrastive,3,0.24505136860118196,0.22074855329476153,-0.024302815306420405,25,0.0,0.0,0.36,0.36,0.0,-0.054384904221927426,0.009558849233739534
gpt2-small,decodable_topk,"[6, 7, 8]",probe_steering,alpha=-5,3,-0.16962182839550954,-0.15305390759670368,0.016567920798805848,25,0.0,0.0,0.52,0.52,0.0,-0.011191947151474637,0.03901437123777091
gpt2-small,decodable_topk,"[6, 7, 8]",probe_steering,alpha=-3,3,-0.16962182839550954,-0.15432740731993902,0.015294421075570521,25,0.0,0.0,0.52,0.52,0.0,-0.010408380394391306,0.03609667099124264
gpt2-small,decodable_topk,"[6, 7, 8]",probe_steering,alpha=-1,3,-0.16962182839550954,-0.15743498280875215,0.012186845586757429,25,0.0,0.0,0.52,0.52,0.0,-0.0040947438702438905,0.02616304683010987
gpt2-small,decodable_topk,"[6, 7, 8]",probe_steering,alpha=+1,3,-0.16962182839550954,-0.19971294269818649,-0.03009111430267694,25,0.0,0.0,0.52,0.52,0.0,-0.09526763044435166,0.04861345817974515
gpt2-small,decodable_topk,"[6, 7, 8]",probe_steering,alpha=+3,3,-0.16962182839550954,-0.21867396013664475,-0.04905213174113519,25,0.0,0.0,0.52,0.52,0.0,-0.19965758259384708,0.1306450932330555
gpt2-small,decodable_topk,"[6, 7, 8]",probe_steering,alpha=+5,3,-0.16962182839550954,-0.22363965470542005,-0.05401782630991052,25,0.0,0.0,0.52,0.52,0.0,-0.20279731098545917,0.12747286545479738
gpt2-small,decodable_topk,"[6, 7, 8]",activation_capping,cap_q=0.75,3,0.24505136860118196,0.24505200692719104,6.383260090903064e-07,25,0.0,0.0,0.36,0.36,0.0,-3.0376911163338958e-05,3.186470667519136e-05
gpt2-small,decodable_topk,"[6, 7, 8]",mean_ablation,mean,3,-0.16962182839550954,-0.17332234964467058,-0.0037005212491610217,25,0.0,0.0,0.52,0.52,0.0,-0.028869165654013842,0.024120002831513634
gpt2-small,random,"[0, 7, 8]",contrastive_patching,contrastive,3,0.24505136860118196,0.2491842912786147,0.0041329226774327625,25,0.0,0.0,0.36,0.36,0.0,-0.02656041034436697,0.03835757646841154
gpt2-small,random,"[0, 7, 8]",probe_steering,alpha=-5,3,-0.16962182839550954,-0.15923367673700506,0.0103881516585045,25,0.0,0.0,0.52,0.52,0.0,-0.06612149058271338,0.06413217512393235
gpt2-small,random,"[0, 7, 8]",probe_steering,alpha=-3,3,-0.16962182839550954,-0.15367649277773773,0.015945335617771828,25,0.0,0.0,0.52,0.52,0.0,-0.06307878917941342,0.07481776577896529
gpt2-small,random,"[0, 7, 8]",probe_steering,alpha=-1,3,-0.16962182839550954,-0.1594989876185202,0.01012284077698935,25,0.0,0.0,0.52,0.52,0.0,-0.025654152394264232,0.038931280876369975
gpt2-small,random,"[0, 7, 8]",probe_steering,alpha=+1,3,-0.16962182839550954,-0.16260031151049067,0.007021516885018924,25,0.04,0.08333333333333333,0.52,0.56,0.040000000000000036,-0.026486798009607553,0.036363766314004
gpt2-small,random,"[0, 7, 8]",probe_steering,alpha=+3,3,-0.16962182839550954,-0.077941078821818,0.09168074957369157,25,0.0,0.0,0.52,0.52,0.0,-0.09629623674086042,0.2593008868819534
gpt2-small,random,"[0, 7, 8]",probe_steering,alpha=+5,3,-0.16962182839550954,-0.08312820206587564,0.08649362632963394,25,0.0,0.0,0.52,0.52,0.0,-0.08320882391532264,0.24174012935294037
gpt2-small,random,"[0, 7, 8]",activation_capping,cap_q=0.75,3,0.24505136860118196,0.2450504263709573,-9.422302246164804e-07,25,0.0,0.0,0.36,0.36,0.0,-3.992366790803725e-06,1.8310546876065814e-07
gpt2-small,random,"[0, 7, 8]",mean_ablation,mean,3,-0.16962182839550954,-0.17867599160101277,-0.009054163205503205,25,0.0,0.0,0.52,0.52,0.0,-0.033310613937088916,0.010805444245868224
