control_name,feature,layer,test_metric,metric_name,model_name
random_label,shuffled_margin,0,0.11055605302172912,pearson,gpt2-small
random_label,shuffled_margin,1,0.12173931999634502,pearson,gpt2-small
random_label,shuffled_margin,2,0.01301102997379134,pearson,gpt2-small
random_label,shuffled_margin,3,0.02620423569738479,pearson,gpt2-small
random_label,shuffled_margin,4,0.24307517786987023,pearson,gpt2-small
random_label,shuffled_margin,5,0.2463034399525946,pearson,gpt2-small
random_label,shuffled_margin,6,0.1011146239198204,pearson,gpt2-small
random_label,shuffled_margin,7,0.13669295510217505,pearson,gpt2-small
random_label,shuffled_margin,8,0.045467965471623455,pearson,gpt2-small
random_label,shuffled_margin,9,0.10304681248360714,pearson,gpt2-small
random_label,shuffled_margin,10,-0.055611071521703234,pearson,gpt2-small
random_label,shuffled_margin,11,0.05056154404674098,pearson,gpt2-small
static_token,prompt_length_tokens,0,0.9869970679283142,pearson,gpt2-small
static_token,prompt_length_tokens,1,0.9888721108436584,pearson,gpt2-small
static_token,prompt_length_tokens,2,0.9835548400878906,pearson,gpt2-small
static_token,prompt_length_tokens,3,0.9807578325271606,pearson,gpt2-small
static_token,prompt_length_tokens,4,0.9834107756614685,pearson,gpt2-small
static_token,prompt_length_tokens,5,0.9847379326820374,pearson,gpt2-small
static_token,prompt_length_tokens,6,0.985271692276001,pearson,gpt2-small
static_token,prompt_length_tokens,7,0.9872295260429382,pearson,gpt2-small
static_token,prompt_length_tokens,8,0.9833734035491943,pearson,gpt2-small
static_token,prompt_length_tokens,9,0.9808909296989441,pearson,gpt2-small
static_token,prompt_length_tokens,10,0.9561452865600586,pearson,gpt2-small
static_token,prompt_length_tokens,11,0.8377922177314758,pearson,gpt2-small
static_token,contains_i_think,0,0.4154352843761444,pearson,gpt2-small
static_token,contains_i_think,1,0.21493493020534515,pearson,gpt2-small
static_token,contains_i_think,2,0.2602721154689789,pearson,gpt2-small
static_token,contains_i_think,3,0.27161920070648193,pearson,gpt2-small
static_token,contains_i_think,4,0.3826923072338104,pearson,gpt2-small
static_token,contains_i_think,5,0.3345222771167755,pearson,gpt2-small
static_token,contains_i_think,6,0.4045613408088684,pearson,gpt2-small
static_token,contains_i_think,7,0.19312503933906555,pearson,gpt2-small
static_token,contains_i_think,8,0.1933363527059555,pearson,gpt2-small
static_token,contains_i_think,9,0.19559597969055176,pearson,gpt2-small
static_token,contains_i_think,10,0.21308352053165436,pearson,gpt2-small
static_token,contains_i_think,11,0.17040365934371948,pearson,gpt2-small
static_token,contains_do_you_agree,0,0.9997697472572327,pearson,gpt2-small
static_token,contains_do_you_agree,1,0.9996697902679443,pearson,gpt2-small
static_token,contains_do_you_agree,2,0.9997455477714539,pearson,gpt2-small
static_token,contains_do_you_agree,3,0.9996933341026306,pearson,gpt2-small
static_token,contains_do_you_agree,4,0.9996711015701294,pearson,gpt2-small
static_token,contains_do_you_agree,5,0.9998091459274292,pearson,gpt2-small
static_token,contains_do_you_agree,6,0.9997778534889221,pearson,gpt2-small
static_token,contains_do_you_agree,7,0.9995583295822144,pearson,gpt2-small
static_token,contains_do_you_agree,8,0.9996633529663086,pearson,gpt2-small
static_token,contains_do_you_agree,9,0.9994260668754578,pearson,gpt2-small
static_token,contains_do_you_agree,10,0.998998761177063,pearson,gpt2-small
static_token,contains_do_you_agree,11,0.9987055659294128,pearson,gpt2-small
static_token,contains_am_i_right,0,0.0,pearson,gpt2-small
static_token,contains_am_i_right,1,0.0,pearson,gpt2-small
static_token,contains_am_i_right,2,0.0,pearson,gpt2-small
static_token,contains_am_i_right,3,0.0,pearson,gpt2-small
static_token,contains_am_i_right,4,0.0,pearson,gpt2-small
static_token,contains_am_i_right,5,0.0,pearson,gpt2-small
static_token,contains_am_i_right,6,0.0,pearson,gpt2-small
static_token,contains_am_i_right,7,0.0,pearson,gpt2-small
static_token,contains_am_i_right,8,0.0,pearson,gpt2-small
static_token,contains_am_i_right,9,0.0,pearson,gpt2-small
static_token,contains_am_i_right,10,0.0,pearson,gpt2-small
static_token,contains_am_i_right,11,0.0,pearson,gpt2-small
static_token,syc_response_starts_A,0,0.029107099398970604,pearson,gpt2-small
static_token,syc_response_starts_A,1,0.12227007746696472,pearson,gpt2-small
static_token,syc_response_starts_A,2,0.15775299072265625,pearson,gpt2-small
static_token,syc_response_starts_A,3,-0.01576000079512596,pearson,gpt2-small
static_token,syc_response_starts_A,4,0.07867348939180374,pearson,gpt2-small
static_token,syc_response_starts_A,5,0.2802274823188782,pearson,gpt2-small
static_token,syc_response_starts_A,6,0.4127132296562195,pearson,gpt2-small
static_token,syc_response_starts_A,7,0.519869327545166,pearson,gpt2-small
static_token,syc_response_starts_A,8,0.5620676875114441,pearson,gpt2-small
static_token,syc_response_starts_A,9,0.1184878945350647,pearson,gpt2-small
static_token,syc_response_starts_A,10,0.09709466248750687,pearson,gpt2-small
static_token,syc_response_starts_A,11,0.04907788708806038,pearson,gpt2-small
topic,subset,0,0.6086956521739131,accuracy,gpt2-small
topic,subset,1,0.6086956521739131,accuracy,gpt2-small
topic,subset,2,0.6521739130434783,accuracy,gpt2-small
topic,subset,3,0.6304347826086957,accuracy,gpt2-small
topic,subset,4,0.6739130434782609,accuracy,gpt2-small
topic,subset,5,0.6086956521739131,accuracy,gpt2-small
topic,subset,6,0.5869565217391305,accuracy,gpt2-small
topic,subset,7,0.5434782608695652,accuracy,gpt2-small
topic,subset,8,0.6086956521739131,accuracy,gpt2-small
