model_name,layer_band,layers,n_layers_edited,rank,behavior_margin_delta,answer_flip_rate,targeted_flip_rate,accuracy_change,side_effect_score,ci_low,ci_high,n_examples
gpt2-small,peak,[8],1,1,-0.009618233956873197,0.0,0.0,0.0,0.059112054612054606,-0.042910850333685815,0.013556540498508797,25
gpt2-small,peak,[8],1,2,-0.013397070928053418,0.0,0.0,0.0,0.07992457542457543,-0.040426569401495346,0.011219919769691684,25
gpt2-small,peak,[8],1,3,-0.011774432495386886,0.0,0.0,0.0,0.06283583083583083,-0.03638284931146733,0.00899524344290146,25
gpt2-small,peak,[8],1,5,-0.006997127425389707,0.0,0.0,0.0,0.10363886113886114,-0.02627394065933199,0.010011679516737662,25
gpt2-small,peak,[8],1,8,-0.005561765460454255,0.0,0.0,0.0,0.09741508491508491,-0.02469800111701595,0.012119053139831118,25
gpt2-small,top3,"[7, 8, 9]",3,1,-0.00579047814924703,0.0,0.0,0.0,0.08790293040293042,-0.03125793496113431,0.014417345163396792,25
gpt2-small,top3,"[7, 8, 9]",3,2,-0.013976793139871973,0.0,0.0,0.0,0.10112304362304363,-0.036599462455210105,0.004492929008271891,25
gpt2-small,top3,"[7, 8, 9]",3,3,-0.008318989572300236,0.0,0.0,0.0,0.10475940725940727,-0.02212206320678344,0.005377728309856124,25
gpt2-small,top3,"[7, 8, 9]",3,5,0.01745615395793208,0.0,0.0,0.0,0.10745171495171496,-0.01097446652562529,0.0473783672650655,25
gpt2-small,top3,"[7, 8, 9]",3,8,0.007990378256197337,0.0,0.0,0.0,0.10922410922410922,-0.012717681142135902,0.027713960792400242,25
gpt2-small,midband,"[3, 4, 5, 6, 7, 8, 9]",7,1,0.0020924221722766843,0.0,0.0,0.0,0.040911588411588415,-0.09938036951729742,0.09922105563614106,25
gpt2-small,midband,"[3, 4, 5, 6, 7, 8, 9]",7,2,0.02272958795470422,0.0,0.0,0.0,0.12110489510489511,-0.029975045058944008,0.07330517759455576,25
gpt2-small,midband,"[3, 4, 5, 6, 7, 8, 9]",7,3,0.03711838009542089,0.0,0.0,0.0,0.12677156177156176,-0.038579410574974014,0.1187373958300662,25
gpt2-small,midband,"[3, 4, 5, 6, 7, 8, 9]",7,5,0.0617886633391332,0.04,0.0,-0.040000000000000036,0.12584165834165834,-0.0712524646530248,0.1650403558395126,25
gpt2-small,midband,"[3, 4, 5, 6, 7, 8, 9]",7,8,0.07231757479484631,0.08,0.08333333333333333,0.0,0.19895424020424024,-0.06149741058734925,0.19339278234484222,25
